CMDLINE /home/cyberninja/dev/repos/python-concept/venv37/bin/python3.7 power_moves.py
MEM 1.351562 1558826224.8191
MEM 20.457031 1558826224.9194
MEM 33.328125 1558826225.0202
MEM 39.226562 1558826225.1205
MEM 39.226562 1558826225.2208
MEM 39.226562 1558826225.3212
MEM 39.226562 1558826225.4215
MEM 39.226562 1558826225.5218
MEM 39.226562 1558826225.6221
MEM 39.226562 1558826225.7225
MEM 39.277344 1558826225.8228
MEM 39.277344 1558826225.9231
MEM 39.277344 1558826226.0234
MEM 39.277344 1558826226.1237
MEM 39.277344 1558826226.2240
MEM 39.277344 1558826226.3244
MEM 39.277344 1558826226.4247
MEM 39.277344 1558826226.5250
MEM 39.277344 1558826226.6253
MEM 39.277344 1558826226.7257
MEM 39.277344 1558826226.8260
MEM 39.277344 1558826226.9263
MEM 39.277344 1558826227.0267
MEM 39.277344 1558826227.1270
MEM 39.277344 1558826227.2273
MEM 39.277344 1558826227.3277
MEM 39.277344 1558826227.4280
MEM 39.277344 1558826227.5283
MEM 39.277344 1558826227.6287
MEM 39.277344 1558826227.7290
MEM 39.277344 1558826227.8294
MEM 39.277344 1558826227.9297
MEM 39.277344 1558826228.0300
MEM 39.277344 1558826228.1303
MEM 39.277344 1558826228.2306
MEM 39.277344 1558826228.3310
MEM 39.277344 1558826228.4313
MEM 39.277344 1558826228.5316
MEM 39.277344 1558826228.6319
MEM 39.277344 1558826228.7322
MEM 39.277344 1558826228.8325
MEM 39.277344 1558826228.9328
MEM 39.277344 1558826229.0331
MEM 39.277344 1558826229.1334
MEM 39.277344 1558826229.2338
MEM 39.277344 1558826229.3341
MEM 39.277344 1558826229.4344
MEM 39.277344 1558826229.5347
MEM 39.277344 1558826229.6350
MEM 39.277344 1558826229.7359
MEM 39.277344 1558826229.8363
MEM 39.277344 1558826229.9367
MEM 39.277344 1558826230.0370
MEM 39.277344 1558826230.1373
MEM 39.277344 1558826230.2376
MEM 39.277344 1558826230.3379
MEM 39.535156 1558826230.4382
MEM 39.535156 1558826230.5386
MEM 39.535156 1558826230.6389
MEM 39.535156 1558826230.7392
MEM 39.535156 1558826230.8395
MEM 39.535156 1558826230.9398
MEM 39.535156 1558826231.0401
MEM 39.535156 1558826231.1404
MEM 39.535156 1558826231.2408
MEM 39.535156 1558826231.3411
MEM 39.535156 1558826231.4414
MEM 39.535156 1558826231.5417
MEM 39.535156 1558826231.6420
MEM 39.535156 1558826231.7423
MEM 39.535156 1558826231.8426
MEM 39.535156 1558826231.9430
MEM 39.535156 1558826232.0432
MEM 39.535156 1558826232.1435
MEM 39.535156 1558826232.2439
MEM 39.535156 1558826232.3442
MEM 39.535156 1558826232.4445
MEM 39.535156 1558826232.5448
MEM 39.535156 1558826232.6451
MEM 39.535156 1558826232.7454
MEM 39.535156 1558826232.8457
MEM 39.535156 1558826232.9460
MEM 39.535156 1558826233.0463
MEM 39.535156 1558826233.1466
MEM 39.535156 1558826233.2469
MEM 39.535156 1558826233.3472
MEM 39.535156 1558826233.4475
MEM 39.535156 1558826233.5478
MEM 39.535156 1558826233.6481
MEM 39.535156 1558826233.7484
MEM 39.535156 1558826233.8487
MEM 39.535156 1558826233.9490
MEM 39.535156 1558826234.0493
MEM 39.535156 1558826234.1497
MEM 39.535156 1558826234.2500
MEM 39.535156 1558826234.3503
MEM 39.535156 1558826234.4506
MEM 39.535156 1558826234.5509
MEM 39.535156 1558826234.6511
MEM 39.535156 1558826234.7515
MEM 39.535156 1558826234.8518
MEM 39.535156 1558826234.9521
MEM 39.535156 1558826235.0525
MEM 39.535156 1558826235.1528
MEM 39.792969 1558826235.2531
MEM 39.792969 1558826235.3535
MEM 39.792969 1558826235.4538
MEM 39.792969 1558826235.5540
MEM 39.792969 1558826235.6544
MEM 39.792969 1558826235.7547
MEM 39.792969 1558826235.8550
MEM 39.792969 1558826235.9553
MEM 39.792969 1558826236.0556
MEM 39.792969 1558826236.1559
MEM 39.792969 1558826236.2562
MEM 39.792969 1558826236.3566
MEM 39.792969 1558826236.4569
MEM 39.792969 1558826236.5572
MEM 39.792969 1558826236.6575
MEM 39.792969 1558826236.7578
MEM 39.792969 1558826236.8581
MEM 39.792969 1558826236.9584
MEM 39.792969 1558826237.0587
MEM 39.792969 1558826237.1593
MEM 39.792969 1558826237.2596
MEM 39.792969 1558826237.3599
MEM 39.792969 1558826237.4603
MEM 39.792969 1558826237.5606
MEM 39.792969 1558826237.6609
MEM 39.792969 1558826237.7612
MEM 39.792969 1558826237.8615
MEM 39.792969 1558826237.9619
MEM 39.792969 1558826238.0622
MEM 39.792969 1558826238.1625
MEM 39.792969 1558826238.2628
MEM 39.792969 1558826238.3631
MEM 39.792969 1558826238.4634
MEM 39.792969 1558826238.5637
MEM 39.792969 1558826238.6640
MEM 39.792969 1558826238.7643
MEM 39.792969 1558826238.8646
MEM 39.792969 1558826238.9649
MEM 39.792969 1558826239.0653
MEM 36.898438 1558826239.1656
